subforum,post_id,text,timestamp,author_id,url,thread_id,position_in_thread,agrees,sentence,treatments,sentiment,factual
support.2,post-257821,,2017-06-26T00:02:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/,is-a-second-habituation-possible-for-me.22453,1,0,Finally I gained the courage to ask for help and saw a therapist but after taking lexapro my tinnitus got so much worse it's now super high pitched and because of the pitch nothing will drown it out it's there constantly and I can only completely escape it in the shower. I'm scared this is going to drive me crazy I don't think I'm strong enough to handle this I'm so young and I feel like my life is over I don't think I can get past this or habituate the way I had been before. Anyone with a high frequency tinnitus that seems to lay on top of other sounds were you able to habituate to it and not hear it?,antidepressant,neg,yes
support.2,post-257821,,2017-06-26T00:02:00,jadebug.24813,threads/is-a-second-habituation-possible-for-me.22453/,is-a-second-habituation-possible-for-me.22453,1,0,Also do you think if the lexapro caused this it could go away or am I stuck like this forever? I've been trying to stay active but it nothing I do makes me stop thinking about my T.  Also sleeping has been just fine for me it's just every hour I'm awake I'm completely miserable. I also got tested by an audiologist and she said I have no hearing loss.,antidepressant,neg,yes
support.52,post-257780,,2017-06-25T18:34:00,pat-w.21112,threads/pulsatile-tinnitus-since-oct-2016-%E2%80%94-i-have-tried-many-things-to-no-avail-next-steps.22449/,pulsatile-tinnitus-since-oct-2016-%E2%80%94-i-have-tried-many-things-to-no-avail-next-steps.22449,1,0,"I have tried home remedies, white vinegar & alcohol drops in the ear, acupuncture, magnesium,  Reiki, you tube tapes, you name it.....I have been there. I haven't got a clue where my next step should be. Any suggestions?","magnesium, acupuncture",neg,yes
support.52,post-257778,,2017-06-25T18:24:00,pat-w.21112,threads/new-here-still-looking.19307/#post-257778,new-here-still-looking.19307,3,0,"I have tried acupuncture, white vinegar&alcohol...which I do not advise.....pretty much you name it. I have had MRA,MRI,CT with contrast....Carotid sonogram......Reki, and the list goes on. Yes, I hear my heartbeat in my right ear all the time and I need some advice on what my next step should be.",acupuncture,neg,yes
support.2,post-257733,,2017-06-25T11:57:00,michael-leigh.3134,threads/what-can-i-do-when-even-masking-doesnt-seem-to-work.22447/#post-257733,what-can-i-do-when-even-masking-doesnt-seem-to-work.22447,2,0,"In an attempt to do this, they will usually try every means possible to distract themselves from the tinnitus which will include masking it completely with another sound so that it can’t be heard. However, tinnitus is quite resilient, any attempts to mask it completely are usually unsuccessful. As soon as the masking sound is removed or stopped temporarily, the brain will immediately focus back on it and often, it appears to be louder and more intrusive.",masking,neg,no
support.2,post-257733,,2017-06-25T11:57:00,michael-leigh.3134,threads/what-can-i-do-when-even-masking-doesnt-seem-to-work.22447/#post-257733,what-can-i-do-when-even-masking-doesnt-seem-to-work.22447,2,0,"As soon as the masking sound is removed or stopped temporarily, the brain will immediately focus back on it and often, it appears to be louder and more intrusive. This causes stress especially for someone new to tinnitus. For anyone that doesn’t know, the more stressed we are the tinnitus becomes more intrusive, and the louder the tinnitus is the more stressed we are.",masking,neg,no
support.2,post-257732,,2017-06-25T11:50:00,raphael7713.21990,threads/what-can-i-do-when-even-masking-doesnt-seem-to-work.22447/,what-can-i-do-when-even-masking-doesnt-seem-to-work.22447,1,0,So what can I do when even masking seems not to work?,masking,neg,no
support.2,post-257724,,2017-06-25T11:07:00,zenyatta.24953,threads/another-week-another-new-noise-what-am-i-missing.22446/#post-257724,another-week-another-new-noise-what-am-i-missing.22446,16,0,"It literally never made a difference or made me spike until this infection - my ears felt full for weeks and I had to go through a course of both antibiotics and steroids. I'm guessing that this, combined with the earlier noise exposure in my life, was the straw that broke the camel's back. Which is... okay I guess, I've taken good care not to do any of those things anymore and I will transition into a headphone-less job soon, fortunately my employer is willing to make accommodations for me.",steroids,neg,yes
support.2,post-257705,,2017-06-25T10:17:00,greg-sacramento.24578,threads/another-week-another-new-noise-what-am-i-missing.22446/#post-257705,another-week-another-new-noise-what-am-i-missing.22446,3,0,My neuro surgeon told me that zinc and many other vitamins are worthless.,zinc,neg,no
support.2,post-257705,,2017-06-25T10:17:00,greg-sacramento.24578,threads/another-week-another-new-noise-what-am-i-missing.22446/#post-257705,another-week-another-new-noise-what-am-i-missing.22446,3,0,"Magnesium and B12 may help some, but don't over do the magnesium. Hey Michael you just beat my post by a second. I want to say I got that new updated sound machine and ocean sounds helped after one night of use.","magnesium, Vitamin B12",neg,no
support.2,post-257699,,2017-06-25T08:14:00,michael-leigh.3134,threads/tinnitus-is-unfair-period.22444/#post-257699,tinnitus-is-unfair-period.22444,7,0,"His doctor prescribed an antidepressant but he didn’t want to take them and asked me what I thought. It wasn’t my place to advise him on this issue but I told him of my experience with medications for my tinnitus and the help I had received at ENT. When I first had tinnitus I had taken antidepressants for a while, which helped me not to become too down.",antidepressant,neg,yes
support.2,post-257699,,2017-06-25T08:14:00,michael-leigh.3134,threads/tinnitus-is-unfair-period.22444/#post-257699,tinnitus-is-unfair-period.22444,7,0,"When I first had tinnitus I had taken antidepressants for a while, which helped me not to become too down.",antidepressant,neg,yes
research-news.4,post-257696,,2017-06-25T07:19:00,reinier.12659,threads/frequency-therapeutics-%E2%80%94-hearing-loss-regeneration.18889/page-19#post-257696,frequency-therapeutics-%E2%80%94-hearing-loss-regeneration.18889,541,0,"Do you mean laser eye surgery for far and near sightedness? Glasses or laser eye surgery can return your far or near sightedness close to 20/20. Hearing aids will not return your hearing to original, or even close to original.",low-level laser therapy,neg,no
support.2,post-257691,,2017-06-25T05:24:00,raphael7713.21990,threads/what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723/page-3#post-257691,what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723,78,0,"And for some weird reason masking didn't work at all. Cricket sound helped the best, but after 15-20 min I could hear my T over it. Sometimes masking works sometimes it doesnt...my T seem to rise in volume when i try to mask.",masking,neg,yes
support.2,post-257691,,2017-06-25T05:24:00,raphael7713.21990,threads/what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723/page-3#post-257691,what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723,78,0,Sometimes masking works sometimes it doesnt...my T seem to rise in volume when i try to mask. This was a very important tool for me to relax and fall asleep.......what now when even masking fails?,masking,neg,yes
support.2,post-257691,,2017-06-25T05:24:00,raphael7713.21990,threads/what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723/page-3#post-257691,what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723,78,0,This was a very important tool for me to relax and fall asleep.......what now when even masking fails?,masking,neg,yes
treatments.13,post-257633,,2017-06-24T20:01:00,zinnia.24146,threads/hyperbaric-oxygen-therapy.211/page-24#post-257633,hyperbaric-oxygen-therapy.211,716,0,"I wish I could report something positive but these days it's one bad thing after another....  so I got  up the nerve to do HBOT this past monday and long story short ended up getting a mild barotrauma in my good ear. The ear stopped equalizing before reaching 2 atmospheres and we paused again and again... it finally equalized and went the rest of the way ""down."" (I've never had issues equalizing my ears before either w flying & swimming) After the treatment was over my ear was stuffed up.",hyperbaric oxygen therapy,neg,yes
support.2,post-3224,,"Aug 15, 2012 at 8:19 PM",fish.511,threads/is-your-tinnitus-quieter-first-thing-in-the-morning.466/#post-3224,is-your-tinnitus-quieter-first-thing-in-the-morning.466,16,0,"I mean, what is a difference between those maskers and an mp3 player with white noise? I know cheap headphones might not be able to reproduce high-freq sounds, but if you get some quality ones, what difference is there? I'm curious.",maskers (masking),neg,no
introduce-yourself.11,post-250333,,,mark-london.7985,threads/intermittent-long-lasting-low-frequency-buzzing-tinnitus-or-muscle-spasming.21641/#post-250333,intermittent-long-lasting-low-frequency-buzzing-tinnitus-or-muscle-spasming.21641,4,0,"I've tried magnesium with other tic and spasm problems with success, but it hasn't helped my ear problem I i. So perhaps my ear problem is less a spasm problem, and more a neurological one. Try taking either magnesium citrate or aspartate, balanced with calcium (to avoid the laxative effect of the magnesium).",magnesium (magnesium),neg,yes
treatments.13,post-31681,,"Feb 6, 2014 at 3:21 PM",johndoe.3143,threads/hyperbaric-oxygen-therapy.211/page-11#post-31681,hyperbaric-oxygen-therapy.211,318,0,"These are some of the risks I found online: ""possible complications during HBO therapy include barotraumatic lesions (middle ear, nasal sinuses, inner ear, lung, teeth), oxygen toxicity (central nervous system, lung), confinement anxiety, and ocular effects (myopia, cataract growth)."" followed by the conclusion: ""Patients scheduled for HBO therapy need a careful pre-examination and monitoring. If safety guidelines are strictly followed, HBO therapy is a modality with an acceptable rate of complications.",hbo (hyperbaric oxygen therapy),neg,no
treatments.13,post-908,,"Jan 18, 2012 at 7:38 PM",markku.1,threads/hyperbaric-oxygen-therapy.211/#post-908,hyperbaric-oxygen-therapy.211,2,1,For chronic tinnitus HBO hasn't been nearly as effective. It has been reported that less than third of patients benefit from this treatment. Although controlled studies haven't been carried out.,hbo (hyperbaric oxygen therapy),neg,no
research-news.4,post-138719,,"Sep 28, 2015 at 2:21 AM",nills.968,threads/autifony-therapeutics-phase-ii-study-for-aut00063-for-the-treatment-of-hearing-loss-and-tinnitus.6516/page-94#post-138719,autifony-therapeutics-phase-ii-study-for-aut00063-for-the-treatment-of-hearing-loss-and-tinnitus.6516,2799,0,"That is another reason why so many horrible drugs are out there and Trobalt being one of them, is now on black list.  ",trobalt (retigabine),neg,no
research-news.4,post-125574,,"Jul 9, 2015 at 2:41 PM",dan.415,threads/deafness-cure-in-5-years.9174/page-3#post-125574,deafness-cure-in-5-years.9174,70,0,That should tell you something about AM101. I have not heard any sensational story of improvement thus far in phsae 3. ,am101 (am101),neg,yes
introduce-yourself.11,post-39582,,"Mar 27, 2014 at 10:55 AM",nick-the-swede.3661,threads/silence-is-gone-in-sweden.4083/#post-39582,silence-is-gone-in-sweden.4083,19,0,"I have exactly the same feeling about white noise, i donÂ´t want life to be a masking session. If i have been using it for maybe 2 hours i get the feeling that i hear T much more when turning the white noise off than i did before i listened to it. I love working out, have bulit a gym down in the basement of our house, havenÂ´t touched anything of in nearly a month now.",masking (masking),neg,yes
support.2,post-180952,,"May 9, 2016 at 9:36 PM",jasonp.12956,threads/what-i-call-the-nuclear-option-of-how-to-habituate-to-tinnitus-if-you-cant-habituate-after-a-year.15249/,what-i-call-the-nuclear-option-of-how-to-habituate-to-tinnitus-if-you-cant-habituate-after-a-year.15249,1,0,I didn't want to get back on Lexapro because it numbed me out so I went another way. I would suggest trying a lot of options before SSRI's or SNRI's because with some they can make you apathetic (anti-depressant apathy syndrome) and can blunt your feelings. Other people seem to be okay.,lexapro (antidepressant),neg,yes
introduce-yourself.11,post-42927,,"Apr 19, 2014 at 1:53 AM",james.1080,threads/new-here.4385/#post-42927,new-here.4385,2,0,"I'm waiting for TRT therapy in Belgium, but there is a waiting list, maybe I can start in August / September I hope to read other people's experiences, the way you treat your tinnitus treatments etc. Excuse me for not writing correct English (I think it looks like Dutch English), but I hope you understand. Regards Jessy"" >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> I understand you comments perfectly.",trt (tinnintus retraining therapy),neg,no
support.2,post-100021,,"Mar 14, 2015 at 3:45 PM",svintegrity.8118,threads/tmj-patients.7468/page-2#post-100021,tmj-patients.7468,54,0,"If I had it to do over, I would not have done Neuromonics. It made my T and H worse. You are wise to use caution.",neuromonics (neuromonics),neg,yes
support.2,post-135942,,"Sep 10, 2015 at 7:05 PM",jon-w.11197,threads/intermittent-ringing-ok-1-for-day-ringing-the-next.11079/,intermittent-ringing-ok-1-for-day-ringing-the-next.11079,1,0,"Ive been trying to treat it with gingko biloba, but its not very effective. I do have one important question or observation, I always get the tinnitus after a nights sleep. It seems also that when sleeping more on my left side, that I have more trouble.",biloba (ginkgo),neg,yes
support.2,post-106596,,"Apr 12, 2015 at 6:34 PM",richard-wallace.6728,threads/i-feel-so-tormented-help-needed-please.9118/#post-106596,i-feel-so-tormented-help-needed-please.9118,2,0,"Dear DanMan1982, Not many of us here in this forum are doctors, but I think MariaH that posted right above me gave you some good advice about the Zoloft and other stuff. Maybe hold off on it (Zoloft) just for the time being. I use that phrase tormenting also because the T stinks pretty bad most of the time.",zoloft (antidepressant),neg,no
alternative-treatments-and-research.27,post-49122,,"May 31, 2014 at 2:15 PM",dr-nagler.3207,threads/low-level-laser-therapy-lllt-for-tinnitus-%E2%80%94-efficacy-debate.7650/page-7#post-49122,low-level-laser-therapy-lllt-for-tinnitus-%E2%80%94-efficacy-debate.7650,197,0,"And I absolutely do understand why people might try scams like LLLT. I was scammed myself twice to the tune some $8,000 in my own search for relief twenty years ago (more than $15,000 in today's dollars) for the same reasons. That's why I feel so strongly about providing accurate information here about LLLT and other tinnitus rip-offs in the hopes that others will not make the same mistake.",lllt (lllt),neg,yes
alternative-treatments-and-research.27,post-131419,,"Aug 12, 2015 at 10:06 PM",linearb.5202,threads/marijuana-cannabis-and-tinnitus.1993/page-9#post-131419,marijuana-cannabis-and-tinnitus.1993,265,0,"It's probably worth a shot, the downsides seem pretty minimal compared to Trobalt or something.  ",trobalt (retigabine),neg,no
introduce-yourself.11,post-258408,,2017-06-28T06:52:00,bill-bauer.22665,threads/not-doing-well-%E2%80%94-near-the-end.21892/#post-258408,not-doing-well-%E2%80%94-near-the-end.21892,22,0,"""a longer duration of tinnitus in the pretreatment period was associated with a greater reduction in dB SL loudness; a lower THI score in the pretreatment period was associated with a greater decrease in tinnitus duration per day; and lower initial tinnitus dB SL loudness and higher annoyance scores were associated with a greater improvement in annoyance VAS and THI scores"" Unfortunately, clonazepam is not a good drug to be taking long term: https://en.wikipedia.org/wiki/Clonazepam#Tolerance_and_withdrawal ""One-third of individuals treated with benzodiazepines for longer than four weeks develop a dependence on the drug and experience a withdrawal syndrome upon dose reduction. High dosage and long-term use increase the risk and severity of dependence and withdrawal symptoms. Withdrawal seizures and psychosis can occur in severe cases of withdrawal, and anxiety and insomnia can occur in less severe cases of withdrawal.",clonazepam,neg,no
support.2,post-258384,,2017-06-28T02:24:00,bill-bauer.22665,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258384,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,6,0,I am not sure about taking that prednisone again. I know it is not good for me. Also it is so difficult to get it (must spend hours at the emergency).,steroids,neg,yes
support.2,post-258339,,2017-06-27T22:41:00,bill-bauer.22665,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,1,0,"Just in case, I took a prednisone tablet. Today I think I am worse(! ), tinnitus is even more high pitch now.",steroids,neg,yes
introduce-yourself.11,post-258408,,2017-06-28T06:52:00,bill-bauer.22665,threads/not-doing-well-%E2%80%94-near-the-end.21892/#post-258408,not-doing-well-%E2%80%94-near-the-end.21892,22,0,"It looks like one has to continue taking clonazepam for life. Then again, perhaps the loudness had stabilized at 3 dB. ""a longer duration of tinnitus in the pretreatment period was associated with a greater reduction in dB SL loudness; a lower THI score in the pretreatment period was associated with a greater decrease in tinnitus duration per day; and lower initial tinnitus dB SL loudness and higher annoyance scores were associated with a greater improvement in annoyance VAS and THI scores"" Unfortunately, clonazepam is not a good drug to be taking long term: https://en.wikipedia.org/wiki/Clonazepam#Tolerance_and_withdrawal ""One-third of individuals treated with benzodiazepines for longer than four weeks develop a dependence on the drug and experience a withdrawal syndrome upon dose reduction.",clonazepam,neg,no
support.2,post-258402,,2017-06-28T05:50:00,tuneout.24559,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258402,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,11,0,"The authors reported that dexamethasone was not effective in protecting against NIHL. In another study performed by Takahashi et al. [11] guinea pigs were exposed to 110-, 115- or 120-dB SPL noise for 10 min.",steroids,neg,no
support.2,post-258390,,2017-06-28T03:02:00,bill-bauer.22665,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258390,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,8,0,"The link below can give us some idea about how bad prednisone is as far as causing T: http://www.ehealthme.com/ds/prednisone/tinnitus/ Looks like of those who got side effects, about 0.3% reported to having T. Erythromycin is known to cause T.  According to  http://www.ehealthme.com/ds/erythromycin/tinnitus/ about 1% of those who report side effects got T. It is possible that Erythromycin causes side effects in larger fraction of users. Looks like the risk is less than 0.1% for prednisone. That's still significant.",steroids,neg,no
support.2,post-258391,,2017-06-28T03:10:00,eric-n.840,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258391,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,9,0,Last year I tried to self medicate with some prednisone I had left after getting a spike for using foam earplugs - not sure why that happened. I took 30mgs for one or two days but only ended up with shoulder cramps for a few weeks and pain near my gallbladder for months it was bad enough that I went to see a doctor.,steroids,neg,yes
introduce-yourself.11,post-258484,,2017-06-28T14:25:00,mikev.25288,threads/tinnitus-for-a-year-zinc-seems-to-be-helping-with-my-tinnitus.22500/,tinnitus-for-a-year-zinc-seems-to-be-helping-with-my-tinnitus.22500,1,0,"After searching the various forums and listening to long-term sufferers that had been to doctors, tried various tinnitus formulas purchased online which didn't work, and recognizing that the probablility of the medical industry basically had no cure, I decided to try Ginko Biloba. I was taking 240 mg every day (120 in the morning, 120 at night) and kept this up for about 3 months. No improvement.",ginkgo,neg,yes
support.2,post-258402,,2017-06-28T05:50:00,tuneout.24559,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258402,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,11,0,"[10] studied the effect of dexamethasone against NIHL in 32 rats exposed to 120-dB SPL noise for 4 h. The day before noise exposure and for a subsequent period of 14 days, the animals were administered dexamethasone. The authors reported that dexamethasone was not effective in protecting against NIHL. In another study performed by Takahashi et al.",steroids,neg,no
support.2,post-258516,,2017-06-28T17:38:00,bcsngan.25159,threads/tinnitus-started-after-3-days-of-50-mg-of-nortriptyline.22421/#post-258516,tinnitus-started-after-3-days-of-50-mg-of-nortriptyline.22421,7,0,Ambien looks a bit dangerous for me. I have sleep apnea and I snore terribly. I would hate to stop breathing and not wake up.,zolpidem,neg,no
support.2,post-258306,,2017-06-27T21:15:00,applejuice.24343,threads/how-would-you-describe-mild-tinnitus.22470/page-2#post-258306,how-would-you-describe-mild-tinnitus.22470,31,2,I don't like masking it even when the volume is lower than my T. It always bums me out whenever the masking stops. Unfortunately I have multiple oscilating high tones where each ear has different sounds plus a low 50hz buzz in my right ear so my attention is often drawn to it automatically. Nature sounds however are less disturbing for me personally so I use those especially at night or I open op my window.,masking,neg,yes
introduce-yourself.11,post-258190,,2017-06-27T14:33:00,water_avens.24777,threads/30-year-old-ears-poisoned-by-wellbutrin.22399/#post-258190,30-year-old-ears-poisoned-by-wellbutrin.22399,7,0,"TMS hasn't helped my depression much at all. I am now considering ECT, but I am so worried that my tinnitus will worsen. I don't really have any other options, as I have been suicidal.. right?",transcranial magnetic stimulation,neg,yes
support.2,post-258387,,2017-06-28T02:48:00,eric-n.840,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258387,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,7,0,There is no established evidence that prednisone works for noise induced hearing loss right? Btw it is also on the ototoxic list of medications and has tinnitus as a side effect.,steroids,neg,no
support.2,post-258166,,2017-06-27T11:42:00,raphael7713.21990,threads/what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723/page-3#post-258166,what-are-your-guesses-on-why-my-tinnitus-goes-away-and-comes-back.20723,81,0,"Im not fully masking it..im doing as recommended...but it's like the T gets more irritated by the masking. This gets me stressed, my brain doesnt let go..and i lay there in bed for hours.",masking,neg,yes
support.2,post-258402,,2017-06-28T05:50:00,tuneout.24559,threads/i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493/#post-258402,i-think-i-just-gave-myself-a-third-acoustic-trauma-is-this-my-third-strike.22493,11,0,"In contrast, studies have also reported that steroids have no otoprotective effect. Bas et al. [10] studied the effect of dexamethasone against NIHL in 32 rats exposed to 120-dB SPL noise for 4 h. The day before noise exposure and for a subsequent period of 14 days, the animals were administered dexamethasone.",steroids,neg,no
support.2,post-258516,,2017-06-28T17:38:00,bcsngan.25159,threads/tinnitus-started-after-3-days-of-50-mg-of-nortriptyline.22421/#post-258516,tinnitus-started-after-3-days-of-50-mg-of-nortriptyline.22421,7,0,I've only been on melatonin this past several days. The T comes and goes in varying loudness. Doctors have now switched from the position that it will definitely go away after a week to definitely go away after a month.,melatonin,neg,yes
support.2,post-9570,,"Mar 11, 2013 at 4:38 AM",just1morething.874,threads/medications-used-for-tinnitus.1179/#post-9570,medications-used-for-tinnitus.1179,4,0,"Grant1, I am glad you returned your SoundCure, the name sounded too good to be true. Have you tried a MP3 player for white noise & nature sounds etc. ?",soundcure (soundcure),neg,no
support.2,post-59553,,"Aug 9, 2014 at 2:18 PM",bobdigi.4429,threads/does-tinnitus-get-worse-over-time.5929/#post-59553,does-tinnitus-get-worse-over-time.5929,25,1,"Then you'll be habituating,  then soon as you come off the antidepressants,  you'll feel like you Neen them to cope with the tinnitus. Then your habituation will take a few steps backwards. ",antidepressants (antidepressant),neg,no
treatments.13,post-97376,,"Feb 28, 2015 at 3:21 PM",svintegrity.8118,threads/neuromonics.1378/page-6#post-97376,neuromonics.1378,161,0,"I would not recommend Neuromonics to anyone. Knowing that I was scheduled for brain surgery in three weeks, he told me that he had no empathy for me. He also said that if they refunded money they would go bankrupt.",neuromonics (neuromonics),neg,yes
introduce-yourself.11,post-81393,,"Dec 7, 2014 at 11:23 PM",marls.6565,threads/hello-everyone-im-having-tinnitus-for-2-weeks.6656/#post-81393,hello-everyone-im-having-tinnitus-for-2-weeks.6656,16,0,"Was on Niacin and Lipo-Flavonoid for about 3 weeks and honestly, it wasn't doing a thing and I didn't want to wait 6 months for the Lipo-Flavonoid to work because I feel it won't do a thing. I also didn't like what I was reading about the side effects of Niacin. At this point, I listen to T sounds on YouTube when on the computer (which helps) and when I go out of the house shopping, to the mall, to Starbucks, CVS, anywhere there are people and distractions, I actually don't hear the noise in my head (and I have mild T with hearing loss on the high frequency range) but in the morning when I get up and it's only me in the house (after my husband has left for work), the noise is bothersome - I run the faucet when getting dressed, put on the radio anything to mask the noise.",lipoflavonoid (lipoflavonoid),neg,yes
support.2,post-225463,,"Jan 8, 2017 at 1:57 PM",randomaccess10.21233,threads/reasons-not-to-check-out-are-there-any.19488/,reasons-not-to-check-out-are-there-any.19488,1,0,"I just give up, none of these issues are curable, and if they were I've finished the job with HBOT (didn't know oxygen was toxic to me in this situation), how can I find the will to live, with no music, lost ALL my interests, career is now over, and trying to cope alone...is there a painless way out? I wake up everyday now just thinking I need to do this, to exit, I LOVED LIFE, so it's impossible... My TINNITUS is also like a constant reminder of what an idiot I am falling into this HELL  If you had to say this is the END, how would you go? I'm thinking train but haven't got the guts",hbot (hyperbaric oxygen therapy),neg,yes
